,event1,event2,event3,event4
0,S,S,D,D
1,B,B,D,B
2,G,D,B,B
3,D,D,B,B
4,G,A,B,G
5,E,B,G,G
6,E,B,G,B
7,D,B,B,E
8,D,G,E,B
9,G,G,B,F
10,G,B,C,A
11,A,E,F,D
12,D,H,A,H
13,B,B,D,D
14,B,C,H,B
15,B,F,D,B
16,E,D,B,D
17,G,B,C,D
18,B,D,B,F
19,H,B,M,B
20,C,C,F,B
21,B,B,B,C
22,C,D,B,B
23,B,J,C,B
24,F,F,B,I
25,Q,B,B,B
26,D,J,I,P
27,G,B,B,C
28,B,B,J,P
29,C,B,C,B
30,G,C,G,B
31,C,B,J,B
32,E,I,B,P
33,B,M,C,C
34,D,B,B,A
35,B,J,B,G
36,C,J,B,K
37,B,C,J,B
38,D,G,C,F
39,J,B,A,B
40,R,B,G,B
41,A,B,K,B
42,C,B,B,B
43,F,K,F,B
44,A,C,B,B
45,G,B,B,Q
46,E,B,B,B
47,B,B,B,K
48,J,C,B,B
49,B,A,B,G
50,B,G,B,B
51,G,G,Q,C
52,B,B,B,B
53,C,G,B,A
54,G,F,B,Q
55,J,K,K,G
56,B,D,B,G
57,L,B,B,B
58,B,B,C,B
59,I,C,G,B
60,M,B,B,D
61,E,C,B,D
62,C,B,C,C
63,G,B,B,B
64,B,B,B,G
65,J,B,A,M
66,B,B,Q,G
67,G,Q,C,G
68,B,B,G,B
69,E,B,G,P
70,B,B,A,G
71,B,B,B,B
72,G,B,B,B
73,B,C,B,B
74,B,G,B,B
75,B,B,D,B
76,K,B,A,B
77,C,C,D,C
78,H,B,C,P
79,C,G,B,F
80,G,B,C,G
81,B,A,A,B
82,G,Q,G,F
83,G,B,B,B
84,B,G,H,B
85,C,G,M,B
86,B,A,G,B
87,G,B,G,G
88,G,K,G,B
89,C,B,B,B
90,C,B,J,G
91,A,H,G,B
92,G,Q,B,C
93,B,B,B,B
94,C,H,B,G
95,G,D,B,B
96,C,A,B,B
97,H,B,B,B
98,G,C,B,B
99,G,B,B,G
100,G,C,C,B
101,E,B,C,B
102,C,A,G,C
103,B,G,B,Q
104,G,B,J,B
105,G,C,F,G
106,G,H,G,G
107,F,B,B,D
108,E,C,B,A
109,K,B,F,C
110,D,G,B,B
111,D,G,B,B
112,B,G,B,I
113,B,G,B,F
114,E,B,B,B
115,C,C,G,B
116,C,B,B,B
117,C,B,G,B
118,B,B,B,B
119,G,C,B,B
120,C,B,G,B
121,B,B,B,C
122,B,B,C,B
123,B,C,B,G
124,B,B,G,B
125,B,B,B,B
126,B,C,B,B
127,B,C,B,B
128,E,B,B,G
129,C,G,B,A
130,B,B,G,B
131,G,J,B,G
132,B,D,B,B
133,E,B,G,F
134,B,F,C,C
135,G,G,Q,B
136,H,B,G,B
137,G,B,B,H
138,G,B,B,B
139,C,F,B,A
140,B,H,G,B
141,E,B,G,G
142,A,B,D,G
143,G,B,A,C
144,C,B,C,G
145,Q,B,B,B
146,B,G,B,F
147,E,B,I,G
148,A,G,F,C
149,B,B,C,B
150,C,G,B,G
151,B,B,B,B
152,C,C,B,F
153,G,G,B,G
154,G,B,B,G
155,B,C,B,B
156,B,B,C,B
157,B,G,G,G
158,C,B,E,G
159,B,B,B,B
160,G,B,G,G
161,B,B,B,B
162,C,B,B,Q
163,K,B,B,B
164,A,B,B,B
165,G,G,B,B
166,Q,G,G,G
167,B,B,A,A
168,M,B,B,G
169,C,B,G,G
170,B,G,B,B
171,B,C,B,G
172,E,Q,F,G
173,B,Q,C,G
174,G,B,B,I
175,G,G,B,B
176,G,B,H,C
177,A,B,G,G
178,G,B,B,B
179,G,G,A,B
180,C,G,B,G
181,B,B,G,G
182,G,B,C,G
183,C,D,G,G
184,E,A,A,B
185,K,C,C,F
186,G,G,G,G
187,H,B,B,C
188,B,B,J,B
189,G,B,B,G
190,B,G,F,A
191,B,I,G,G
192,B,F,B,B
193,B,C,G,B
