,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
5,333,3,3,1,india,1,3,0,0
15,869,1,2,2,sweden,2,3,0,0
24,1071,1,6,5,canada,3,0,0,0
36,1634,0,0,1,india,3,0,0,0
62,1991,1,1,1,japan,4,0,0,0
67,2040,1,2,2,australia,3,0,0,0
80,2347,1,1,1,germany,5,0,0,0
82,2354,1,5,3,united states,6,7,3,0
83,2356,1,3,2,united states,5,0,0,0
92,233,3,7,2,india,6,7,1,4
118,2618,0,0,1,united states,4,0,0,0
129,1170,1,6,5,united kingdom,3,0,0,0
131,1201,2,2,1,united states,3,0,0,0
135,1351,8,25,3,united states,7,5,0,0
139,1454,1,1,1,thailand,5,0,0,0
161,1835,1,2,2,united states,5,0,0,0
166,1899,0,0,1,italy,7,0,0,0
173,2038,1,1,1,nepal,3,0,0,0
175,2072,4,8,2,india,2,4,2,4
199,2376,1,8,5,united states,3,1,3,3
208,2484,3,15,5,czech republic,2,4,3,2
211,614,1,1,1,united states,3,0,0,0
215,866,5,11,2,united states,4,2,4,7
227,1203,5,10,2,norway,4,2,4,2
229,1207,1,7,4,india,3,3,7,5
233,1239,1,1,1,united states,6,0,0,0
241,1553,2,10,5,united states,5,14,7,5
242,1607,2,2,1,india,8,4,0,0
258,2049,1,1,1,france,3,0,0,0
264,2150,1,6,4,malaysia,6,2,3,6
283,2530,1,7,5,singapore,2,3,3,3
287,2574,4,8,2,india,3,1,2,0
295,2738,1,1,1,united states,3,0,0,0
296,2748,3,10,3,india,9,7,3,3
309,275,13,13,1,india,7,2,2,2
310,276,1,2,2,united arab emirates,10,0,0,0
341,637,1,1,1,colombia,4,0,0,0
348,1002,1,2,2,india,5,0,0,0
358,1123,5,5,1,brazil,6,3,6,3
359,1124,1,1,1,india,3,0,0,0
391,1422,6,6,1,united states,8,14,6,7
399,1670,1,1,1,india,7,0,0,0
400,1706,1,2,2,singapore,3,3,0,0
406,1734,1,2,2,united kingdom,1,0,0,0
435,2014,0,0,1,united kingdom,3,0,0,0
438,2053,1,1,1,hungary,3,0,0,0
485,2595,1,4,4,united states,3,3,5,4
494,2780,2,2,1,germany,3,0,0,0
500,2834,1,1,1,germany,1,0,0,0
502,2857,3,3,1,united states,5,7,5,0
504,2897,1,8,7,spain,7,3,5,3
512,2869,6,18,3,united kingdom,7,3,3,3
514,2984,2,5,2,united states,5,0,0,0
526,3182,3,3,1,india,2,1,3,0
527,3185,3,14,4,india,2,4,2,4
538,3298,1,2,2,france,3,0,0,0
539,3324,7,7,1,united states,6,3,3,3
590,3730,3,3,1,luxembourg,4,7,3,0
602,1242,0,0,1,united states,5,0,0,0
614,4157,1,1,1,india,3,0,0,0
618,4185,1,10,6,united states,3,3,3,0
638,1898,1,1,1,united states,3,0,0,0
646,4581,4,9,2,united states,3,3,7,8
650,4655,1,4,3,india,5,0,0,0
654,4751,4,4,1,india,2,3,2,3
682,2527,2,63,25,romania,3,7,18,6
691,266,1,2,2,united states,3,3,0,0
694,288,1,3,3,united states,7,5,0,0
710,2670,0,0,1,canada,11,0,0,0
713,2727,2,6,3,india,6,14,7,6
732,1052,0,0,1,united states,4,0,0,0
733,1081,1,1,1,united states,3,0,0,0
737,1209,1,3,3,switzerland,3,0,0,0
758,1820,1,4,3,india,5,0,0,0
761,1850,1,3,3,sweden,7,0,0,0
764,1888,0,0,1,united states,5,0,0,0
787,2256,1,9,6,colombia,3,0,0,0
790,2285,6,6,1,indonesia,9,9,1,5
795,2643,1,5,3,united kingdom,3,6,7,5
813,2420,1,1,1,india,3,0,0,0
819,2492,2,2,1,colombia,3,0,0,0
829,3131,1,7,5,united kingdom,6,7,3,3
840,247,1,1,1,malaysia,3,0,0,0
843,3474,1,17,12,united states,5,0,0,0
844,3476,2,2,1,australia,4,3,0,0
865,4028,2,18,8,united states,3,7,3,6
909,1143,1,15,13,united states,12,6,0,0
921,4816,2,33,13,united states,7,14,7,3
931,1460,1,8,6,india,2,2,2,4
937,1687,1,8,6,syrian arab republic,3,2,3,3
970,2270,2,2,1,brazil,2,4,0,0
972,2304,1,16,15,united states,3,0,0,0
976,2411,1,12,9,lithuania,3,3,0,0
988,2707,2,2,1,france,4,3,0,0
991,286,2,26,12,philippines,7,1,7,1
1003,904,1,2,2,united kingdom,3,3,0,0
1005,2766,1,4,3,germany,4,1,3,0
1008,2919,3,7,2,colombia,3,6,1,4
1012,2970,2,2,1,india,1,0,0,0
1030,1103,0,0,1,thailand,5,0,0,0
1048,1650,3,3,1,india,3,0,0,0
1056,1780,1,2,2,italy,5,8,0,0
1060,1837,1,1,1,india,4,0,0,0
1078,2057,2,2,1,singapore,7,3,0,0
1089,501,1,3,2,united states,4,0,0,0
1109,2447,2,87,41,india,3,4,3,2
1120,2553,1,1,1,sweden,3,0,0,0
1144,268,0,0,1,hong kong,4,0,0,0
1153,2628,1,1,1,india,4,0,0,0
1156,2677,1,35,18,india,6,7,4,1
1165,2841,1,1,1,singapore,3,0,0,0
1177,291,4,4,1,germany,6,7,14,5
1193,2965,1,4,3,united states,2,3,3,3
1194,2989,1,3,3,united states,13,0,0,0
1200,575,11,11,1,italy,2,3,2,3
1220,1198,3,6,2,india,6,7,4,4
1233,1697,6,6,1,india,14,3,4,6
1265,2264,2,2,1,india,3,5,0,0
1275,2460,1,11,8,canada,6,3,0,0
1280,2546,1,1,1,united states,3,0,0,0
1317,3205,0,0,1,india,3,0,0,0
1319,3236,2,2,1,serbia,1,0,0,0
1330,3434,1,7,5,lebanon,5,3,3,3
1332,3451,2,2,1,ireland,5,0,0,0
1333,3471,0,0,1,germany,3,0,0,0
1343,3711,1,16,11,slovakia (slovak republic),2,4,2,2
1346,3728,1,2,2,united states,3,3,0,0
1351,228,0,0,1,italy,5,0,0,0
1355,278,1,1,1,united states,12,0,0,0
1356,304,2,2,1,india,5,0,0,0
1365,633,1,1,1,germany,3,0,0,0
1366,645,1,45,30,united states,3,3,8,7
1369,1046,1,1,1,bulgaria,3,0,0,0
1382,1181,1,3,2,united kingdom,2,5,0,0
1385,1237,1,31,17,india,1,7,1,16
1404,1723,0,2,3,france,3,8,3,0
1406,1746,2,2,1,india,3,0,0,0
1414,1870,1,3,2,india,1,3,0,0
1415,1874,2,4,2,united states,3,6,0,0
1417,1905,1,5,3,netherlands,3,7,0,0
1423,2039,1,1,1,germany,4,0,0,0
1424,2054,1,1,1,netherlands,7,0,0,0
